Level,Region,TaskType,Model,RMSE,sMAPE_percent,MASE
Series,RegionE,BatchInference,SeasonalMean,76.27296513775605,94.93755319730349,0.9772044308113796
Series,RegionE,AITraining,GBDT,604.7772519137889,90.69848341687361,1.0998651660151066
Series,RegionE,AITraining,LastValue,655.1607947778078,100.43268748116583,1.1822134443571277
Series,RegionE,AITraining,SeasonalMean,653.5995160615048,98.14097929274307,1.1923309922856478
Series,RegionF,RealTimeInference,GBDT,8.837986891330601,168.29566964647526,1.0636250078788623
Series,RegionF,RealTimeInference,LastValue,7.776059085899965,168.97158081099138,1.094020937143605
Series,RegionF,RealTimeInference,SeasonalMean,8.054419939111416,101.15327525286271,0.8120476006854601
Series,RegionF,BatchInference,GBDT,38.8843781075121,119.26392619052572,0.660091782933427
Series,RegionF,BatchInference,LastValue,36.97149239616924,129.45082763492175,0.5769289378069705
Series,RegionF,BatchInference,SeasonalMean,58.33429790869176,138.11470800807965,0.920272657255728
Series,RegionF,AITraining,GBDT,586.9210189718707,72.05269401184034,0.9976638863132034
Series,RegionF,AITraining,LastValue,839.1938668423604,200.0,1.614900569590227
Series,RegionF,AITraining,SeasonalMean,635.966374597003,77.51999577685169,1.0723912603359067
Region,RegionA,ALL,GBDT,188.91086713700798,88.08146063504869,
Region,RegionB,ALL,GBDT,197.83471241753347,71.02044465990329,
Region,RegionC,ALL,GBDT,114.62496685187655,80.89118049442146,
Region,RegionD,ALL,GBDT,505.36867936115283,76.64661784678306,
Region,RegionE,ALL,GBDT,647.8802538291387,86.01988078561583,
Region,RegionF,ALL,GBDT,574.0230006987396,65.1062848125694,
Total,ALL,ALL,GBDT,1017.3967067878993,29.551445356670765,
Region,RegionA,ALL,LastValue,175.11091114977305,84.65443266126898,
Region,RegionB,ALL,LastValue,196.74890421008797,79.38339236836889,
Region,RegionC,ALL,LastValue,147.07082182385616,108.33002715607078,
Region,RegionD,ALL,LastValue,685.8323974865358,162.38055133998637,
Region,RegionE,ALL,LastValue,665.1401042801127,86.9264632544001,
Region,RegionF,ALL,LastValue,840.2445202417545,177.55627658160577,
Total,ALL,ALL,LastValue,1809.4913603600303,83.4341071822068,
Region,RegionA,ALL,SeasonalMean,208.64290160381805,90.45929906603817,
Region,RegionB,ALL,SeasonalMean,177.34496580274313,71.56806887482,
Region,RegionC,ALL,SeasonalMean,156.8155788713257,98.0310264245826,
Region,RegionD,ALL,SeasonalMean,519.7354730517271,79.62873438341761,
Region,RegionE,ALL,SeasonalMean,699.6238125885557,93.71829052679396,
Region,RegionF,ALL,SeasonalMean,620.7948915702282,72.38932464464916,
Total,ALL,ALL,SeasonalMean,1145.6406339625937,35.57737899321125,
